datetime_utc,close
2015-01-01 00:00:00+00:00,21375.0
2015-01-02 00:00:00+00:00,21063.0
2015-01-05 00:00:00+00:00,21046.0
2015-01-06 00:00:00+00:00,21097.0
2015-01-07 00:00:00+00:00,21083.0
2015-01-08 00:00:00+00:00,21061.0
2015-01-09 00:00:00+00:00,21021.0
2015-01-12 00:00:00+00:00,21020.0
2015-01-13 00:00:00+00:00,21005.0
2015-01-14 00:00:00+00:00,20991.0
2015-01-15 00:00:00+00:00,21007.0
2015-01-16 00:00:00+00:00,20988.0
2015-01-19 00:00:00+00:00,20993.0
2015-01-20 00:00:00+00:00,21004.0
2015-01-21 00:00:00+00:00,21036.0
2015-01-22 00:00:00+00:00,21009.0
2015-01-23 00:00:00+00:00,20922.0
2015-01-26 00:00:00+00:00,20982.0
2015-01-27 00:00:00+00:00,20981.0
2015-01-28 00:00:00+00:00,20988.0
2015-01-29 00:00:00+00:00,20996.0
2015-01-30 00:00:00+00:00,21074.0
2015-02-02 00:00:00+00:00,20991.0
2015-02-03 00:00:00+00:00,20973.0
2015-02-04 00:00:00+00:00,21058.0
2015-02-05 00:00:00+00:00,20979.0
2015-02-06 00:00:00+00:00,20978.0
2015-02-09 00:00:00+00:00,20961.0
2015-02-10 00:00:00+00:00,20970.0
2015-02-11 00:00:00+00:00,20968.0
2015-02-12 00:00:00+00:00,20943.0
2015-02-13 00:00:00+00:00,20986.0
2015-02-16 00:00:00+00:00,20979.0
2015-02-17 00:00:00+00:00,21300.0
2015-02-18 00:00:00+00:00,20972.0
2015-02-19 00:00:00+00:00,20987.0
2015-02-20 00:00:00+00:00,20957.0
2015-02-23 00:00:00+00:00,20975.0
2015-02-24 00:00:00+00:00,20978.0
2015-02-25 00:00:00+00:00,21011.0
2015-02-26 00:00:00+00:00,21018.0
2015-02-27 00:00:00+00:00,20984.0
2015-03-02 00:00:00+00:00,20989.0
2015-03-03 00:00:00+00:00,20987.0
2015-03-04 00:00:00+00:00,21004.0
2015-03-05 00:00:00+00:00,20994.0
2015-03-06 00:00:00+00:00,20968.0
2015-03-09 00:00:00+00:00,20982.0
2015-03-10 00:00:00+00:00,20978.0
2015-03-11 00:00:00+00:00,20974.0
2015-03-12 00:00:00+00:00,20996.0
2015-03-13 00:00:00+00:00,21003.0
2015-03-16 00:00:00+00:00,21089.0
2015-03-17 00:00:00+00:00,21066.0
2015-03-18 00:00:00+00:00,21113.0
2015-03-19 00:00:00+00:00,21142.0
2015-03-20 00:00:00+00:00,21078.0
2015-03-23 00:00:00+00:00,21149.0
2015-03-24 00:00:00+00:00,21168.0
2015-03-25 00:00:00+00:00,21475.0
2015-03-26 00:00:00+00:00,21144.0
2015-03-27 00:00:00+00:00,21154.0
2015-03-29 23:00:00+00:00,21161.0
2015-03-30 23:00:00+00:00,21186.0
2015-03-31 23:00:00+00:00,21188.0
2015-04-01 23:00:00+00:00,21115.0
2015-04-02 23:00:00+00:00,21575.0
2015-04-05 23:00:00+00:00,21565.0
2015-04-06 23:00:00+00:00,21229.0
2015-04-07 23:00:00+00:00,21241.0
2015-04-08 23:00:00+00:00,21220.0
2015-04-09 23:00:00+00:00,21217.0
2015-04-12 23:00:00+00:00,21221.0
2015-04-13 23:00:00+00:00,21228.0
2015-04-14 23:00:00+00:00,21217.0
2015-04-15 23:00:00+00:00,21121.0
2015-04-16 23:00:00+00:00,21234.0
2015-04-19 23:00:00+00:00,21196.0
2015-04-20 23:00:00+00:00,21555.0
2015-04-21 23:00:00+00:00,21555.0
2015-04-22 23:00:00+00:00,21550.0
2015-04-23 23:00:00+00:00,21565.0
2015-04-26 23:00:00+00:00,21570.0
2015-04-27 23:00:00+00:00,21575.0
2015-04-28 23:00:00+00:00,21575.0
2015-04-29 23:00:00+00:00,21575.0
2015-04-30 23:00:00+00:00,21575.0
